,input_rate,output_rate,latency,firewall,router,ndpi_stat,payload_scan,bridge,firewall_drop,router_drop,ndpi_stat_drop,payload_scan_drop,bridge_drop,firewall_cycles,bridge_cycles,ndpi_stat_cycles,nf_router_cycles,payload_scan_cycles
24,0.9529535132211091,0.07191274389543499,0.003751083452902556,0.13742757421505952,0.13976507822114945,0.13977826883562325,0.11882429271333193,0.11881870179075905,1.0,,0.19964044759316604,,0.4001026039304168,0.9979590518181266,0.014997436671921941,0.012222629111372544,0.9993942266691094,0.999705241202468
25,0.8559038708884742,0.03015516000622644,0.007866830123747273,0.0,0.13941898159494573,0.1394321657903139,0.13941718710826123,0.13941160300590516,1.0,,0.2867589087568552,,0.5263435172895155,0.9978560542566111,0.014979208383273634,0.00815090810786564,0.9991433467086122,0.9998082971643929
26,0.48971185674570566,0.03874274450139425,0.006547445616619848,0.07832939515880061,0.0022991414154126598,0.0023097824286961487,0.002297483167963341,0.0022812554853794973,1.0,,0.375046594625368,,0.5527991791685567,0.9973712431652735,0.0,0.012212627124489518,0.9585155890666659,0.9996515949567222
27,0.49054740849827394,0.03430258911078825,0.007096272922015215,0.09905875526242583,0.08046796238178068,0.08048005320382125,0.08046622646752276,0.08047022743004381,1.0,,0.463238986241165,,0.5527991791685567,0.9979346431348938,0.01427892303813532,0.012112522624922233,0.9956811562561402,0.9983844586878516
28,0.48902427518529823,0.0008917855234796032,0.0017564306251133847,0.10711513832519916,0.10113936996503928,0.10115184418275301,0.08917659223333448,0.08917198506983198,1.0,,0.5535543039737776,,0.5527991791685567,0.9980523203175554,0.015078860249783048,0.012471106852897236,0.9997477471633125,1.0
29,0.4888212722609647,0.5271083256668034,0.0029649501840724644,0.499522306842996,0.11034918334443934,0.1103618283779326,0.04732775582890722,0.04732214122720152,1.0,,0.5994730159163807,,0.5527991791685567,0.997985778270657,0.015020359338825885,0.0120529839526335,1.0,0.9998638954416682
30,0.48805509271243525,0.5394971588367549,0.006142467872071013,0.49854036357793835,0.5049566335959472,0.5049322167949732,0.5049647428902053,0.5049745147198607,1.0,,0.643199634810163,,0.567911499507066,0.997981862541354,0.013787845346474922,0.012192697534689666,0.9998487666695566,0.9997097791411808
31,0.48774094366309084,0.5397050555239357,0.006410009730460741,0.4984889094852798,0.4996959648776507,0.49971583118385127,0.49968685738282986,0.4996813925991674,1.0,,0.6859303799776114,,0.6475345765202706,0.9978620176189298,0.7614732835525331,0.6532108466527968,0.9982706133123322,0.9991299254768586
32,0.4889110905040075,0.5405397025372537,0.00764418398816952,0.4995412286706188,0.49964562355020287,0.49965555295012276,0.49964446472815216,0.49963800635227645,1.0,,0.6859303799776114,,0.6475345765202706,0.9978745914238609,0.9992972082332409,0.9574383514767952,0.998485662959367,0.999100765160262
33,0.48725188841345973,0.5389470203490972,0.006031602923902667,0.4977141104384088,0.50069153086652,0.5007004860677793,0.5006857343086735,0.500687887288492,1.0,,0.6859303799776114,,0.6475345765202706,0.997793387210776,0.9997514717131285,0.9997196183681583,0.9978946480475196,0.9986861076373637
